quality_score,Owner,Country_of_Origin,Farm_Name,Company,Region,Producer,Number_of_Bags,Bag_Weight,In-Country_Partner,Harvest_Year,Grading_Date,Variety,Status,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,Expiration,Certification_Body,Certification_Address,Certification_Contact,Altitude_Units,Lower_Altitude,Upper_Altitude
79.17,JULIO CESAR ROBLES FLORES,Mexico,EL DELIRIO,,YAJALON,SOCIEADAD COOPERATIVA INDUSTRIAL CAFES YAJALON S. C. L.,53,1,AMECAFE,2012,"August 30th, 2012",Typica,Completed,Washed / Wet,7.17,6.92,6.92,7.08,7.17,7,10,10,10,6.92,Sample  79.17,14%,0 full defects,0,Green,34 full defects,"August 30th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1450,
79.17,Masamichi Hiroike,Mexico,Various smallholders,,"Pluma Hidalogo, Oaxaca",Various smallholders,250,6,Specialty Coffee Association,08/09 crop,"April 9th, 2010",Typica,Completed,,6.75,6.75,6.83,7.25,7.58,7.08,10,10,10,6.92,Sample  79.17,1%,0 full defects,0,,8 full defects,"April 9th, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1200,
79.08,Juan Luis Alvarado Romero,Guatemala,LAS MERCEDITAS,"UNEX GUATEMALA, S.A.",SAN MARCOS,ANGEL DE LEON,50,69,Asociacion Nacional Del Café,2017,"August 23rd, 2017",Bourbon,Completed,Washed / Wet,7.58,7.67,7.42,7.42,7.67,7.67,8.67,8.67,8.67,7.67,Sample  79.08,10%,0 full defects,0,Green,1 full defects,"August 23rd, 2018",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,meters,1700,
79.08,German Negron,United States (Puerto Rico),Hacienda Caracolillo,"Hacienda Alto Grande, LLC.",Yauco Region,Hacienda Alto Grande,18,2.26796,Specialty Coffee Association,2013,"June 9th, 2014",Other,Completed,Washed / Wet,7.42,7.08,6.75,7.33,7.33,6.92,10,9.33,10,6.92,Sample  79.08,13%,0 full defects,0,Green,0 full defects,"June 9th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,feet,2800,
79.08,ISRAEL EDUARDO PAZ GARCIA,Mexico,HUANACAXTLE,CAFEORGANICO.MX,ZARAGOZA ITUNDUJIA,GUADALUPE HERAS HERNANDEZ,13,1,AMECAFE,2012,"September 13th, 2012",Typica,Completed,Washed / Wet,7.33,7,6.92,7.25,7.33,7.08,9.33,10,10,6.83,Sample  79.08,16%,0 full defects,0,None,2 full defects,"September 13th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1500,
79.08,JUANA RODRIGUEZ GUTIERREZ,Mexico,LAS PALMAS,PRODUCTORES E INDUSTRIALIZADORES DE CAFÉ ORGÁNICO LA FE S.C. DE R.L.,TLACUILOTEPEC,JUANA RODRIGUEZ GUTIERREZ,10,1,AMECAFE,2012,"September 12th, 2012",Mundo Novo,Completed,Washed / Wet,7.25,7.08,6.75,7.33,7.42,7,9.33,10,10,6.92,Sample  79.08,11%,0 full defects,0,Green,45 full defects,"September 12th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1100,
79.08,BALBINO RAMIREZ FLORES,Mexico,EL DESMORONADO,,TALPA DE ALLENDE,BALBINO RAMIREZ FLORES,10,1,AMECAFE,2012,"July 3rd, 2012",Typica,Completed,Washed / Wet,7.17,7.25,7.25,7.17,7.25,7.08,9.33,9.33,10,7.25,Sample  79.08,10%,0 full defects,0,Bluish-Green,0 full defects,"July 3rd, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1200,
79.08,Racafe & Cia S.C.A,,,,,,149,70,Almacafé,,"March 1st, 2011",,Completed,,6.75,6.75,6.42,6.83,7.58,7.5,10,10,10,7.25,Sample  79.08,10%,0 full defects,0,,3 full defects,"February 29th, 2012",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,
79,Juan Luis Alvarado Romero,Guatemala,Varias,"Outspan Guatemala, S.A.",Oriente,Varios,250,69,Asociacion Nacional Del Café,2014,"September 11th, 2014",Other,Completed,Washed / Wet,7.33,7.17,6.58,7.42,7.08,6.83,10,10,10,6.58,Sample  79.00,12%,0 full defects,0,Green,3 full defects,"September 11th, 2015",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,feet,4000,
79,CAFES FINOS DE EXPORTACION S DE R.L.,Honduras,Varios Farms,CAFES FINOS DE EXPORTACION S DE R.L.,INTIBUCA,Cooperativa Coaquil,275,2,Instituto Hondureño del Café,2014,"April 26th, 2014",Pacas,Completed,Washed / Wet,7,7,7,7,7,7,10,10,10,7,Sample  79.00,11%,0 full defects,0,Green,12 full defects,"April 26th, 2015",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,meters,1350,
79,Sustainable Harvest Coffee,Peru,,Sustainable Harvest,San Ignacio,Frontera,280,69,Specialty Coffee Association,2012,"January 8th, 2013",Typica,Completed,Washed / Wet,7.67,7.17,7.08,7.25,8,7.5,8.67,9.33,9.33,7,Sample  79.00,0%,0 full defects,0,,4 full defects,"January 8th, 2014",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1400,
79,GONZALO DE AQUINO FLORES,Mexico,,Café Monteabuelo S.A. DE C.V.,"ILIATENCO, GUERRERO",GONZALO DE AQUINO FLORES,14,1,AMECAFE,2012,"September 17th, 2012",Mundo Novo,Completed,Natural / Dry,6.75,7.08,6.67,7.25,7.17,7.08,10,10,10,7,Sample  79.00,12%,0 full defects,0,None,12 full defects,"September 17th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1300,
79,ISRAEL EDUARDO PAZ GARCIA,Mexico,EL SAUCE,CAFEORGANICO.MX,ZARAGOZA ITUNDUJIA,JUAN CRUZ RIAÑO,16,1,AMECAFE,2012,"September 12th, 2012",Typica,Completed,Semi-washed / Semi-pulped,7.5,7.17,6.92,7.5,7.25,7,8.67,10,10,7,Sample  79.00,14%,3 full defects,0,Green,17 full defects,"September 12th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1550,
79,JUAN AVENAMAR RODRIGUEZ FUNEZ,Mexico,PICO DEL ORO,CAFÉ PICO DE LORO,AMATENANGO DE LA FRONTERA,JUAN AVENAMAR RODRIGUEZ FUNEZ,120,1,AMECAFE,2012,"August 30th, 2012",Typica,Completed,Washed / Wet,7.17,6.83,6.83,7.25,7.17,6.92,10,10,10,6.83,Sample  79.00,14%,7 full defects,0,Green,38 full defects,"August 30th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,,
78.92,ALFREDO BOJALIL,Mexico,SANTA TERESA,ECOMTRADING,"LA CONCORDIA, CHIAPAS",AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV,250,1,AMECAFE,2013,"March 12th, 2013",Typica,Completed,Washed / Wet,7.33,7,6.75,7.08,7.17,7.25,9.33,10,10,7,Sample  78.92,12%,0 full defects,0,Green,8 full defects,"March 12th, 2014",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1300,
78.92,ISRAEL EDUARDO PAZ GARCIA,Mexico,LA PANDORA,CAFEORGANICO.MX,ZARAGOZA ITUNDUJIA,LUISA ZUÑIGA GARCÍA,14,1,AMECAFE,2012,"September 17th, 2012",Typica,Completed,Washed / Wet,7.5,7,6.92,7.08,6.92,6.75,10,10,10,6.75,Sample  78.92,16%,0 full defects,0,None,0 full defects,"September 17th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1400,
78.83,"Exportadora Atlantic, S.A.",Nicaragua,Finca Las Marías,Exportadora Atlantic S.A,JALAPA,Teófilo Narváez,1,1,Instituto Hondureño del Café,2016,"May 22nd, 2017",Caturra,Completed,Other,7.17,7,6.92,7,7,7,10,10,10,6.75,Sample  78.83,10%,0 full defects,2,Green,4 full defects,"May 22nd, 2018",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,meters,1100,
78.75,Eileen Koyanagi,United States (Hawaii),,Kona Pacific Farmers Cooperative,KONA,,11,0.907184,Specialty Coffee Association,2013,"January 17th, 2014",,Completed,Natural / Dry,7.5,6.92,6.92,7.25,7.58,7.42,9.33,9.33,9.33,7.17,Sample  78.75,12%,5 full defects,0,Green,8 full defects,"January 17th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,
78.75,Juan Luis Alvarado Romero,Guatemala,LA CASTELLANA,"UNEX (GUATEMALA), S.A",ORIENTE,AGRIPEC DE LA VEGA Y CIA.,250,69,Asociacion Nacional Del Café,2013,"July 5th, 2013",Bourbon,Completed,Washed / Wet,7.33,7.08,6.33,7.25,7,7,10,10,10,6.75,Sample  78.75,12%,1 full defects,0,Green,8 full defects,"July 5th, 2014",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,feet,4300,
78.75,OCTAVIO AUGUSTO DIAZ TREJO,Mexico,"LA PATRONA, EL TREBOL, LA CADENA",EMPAGRI S.P.R. DE R.L. DE C.V.,HUATUSCO,"JOSE VAZQUEZ CANTON, JOSE ANTONIO JIMENEZ GONZALEZ, IRENEO GARCIA VALDIVIA",20,1,AMECAFE,2012,"August 1st, 2012",Typica,Completed,Washed / Wet,7.25,6.83,6.83,7,7.17,7,10,10,10,6.67,Sample  78.75,14%,0 full defects,0,Green,0 full defects,"August 1st, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1320,
78.75,DAMASO MARTINEZ PEREZ,Mexico,EL TESORO,,HUATUSCO,DAMASO MARTINEZ PEREZ,35,1,AMECAFE,2012,"July 16th, 2012",Typica,Completed,Semi-washed / Semi-pulped,7.25,7.33,7.17,7.25,7.08,7,8.67,10,10,7,Sample  78.75,14%,0 full defects,0,None,0 full defects,"July 16th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1250,
78.75,"PRODUCTORES DE ESPECIALIDAD EMILIANO ZAPEATA, SPR.",Mexico,LOS ENCINOS,,"OHUAPAN, TLALTETELA","PEDRO HERRERA GUZMAN, AURELIO GABRIEL HERNANDEZ ,MARIA DE LOURDES DERISTAIN TRESS",10,1,AMECAFE,2012,"June 6th, 2012",Bourbon,Completed,Washed / Wet,7.67,7.17,6.83,7.33,7.58,7.17,9.33,10,8.67,7,Sample  78.75,12%,0 full defects,0,,0 full defects,"June 6th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1350,
78.67,Adam Ciruli Ye,China,Alicia's Farm,Yunnan Louis Herbs R& D Center,"Yunnan,China",Yunnan Louis Herbs R&D Center,1,2,Specialty Coffee Association,2013,"April 26th, 2014",Typica,Completed,Washed / Wet,7,6.92,6.83,7.17,7.17,7.17,10,10,9.33,7.08,Sample  78.67,0%,0 full defects,0,Green,5 full defects,"April 26th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1850,
78.67,JUAN GARCIA HERNANDEZ,Mexico,LOS PINOS,,YECUATLA,JUAN GARCIA HERNANDEZ,20,1,AMECAFE,2012,"September 17th, 2012",Caturra,Completed,Washed / Wet,6.92,6.92,6.67,7.25,7.17,6.92,10,10,10,6.83,Sample  78.67,13%,0 full defects,0,None,2 full defects,"September 17th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1150,
78.58,"Exportadora Atlantic, S.A.",Nicaragua,LOS SALTARINES,Exportadora Atlantic S.A,Nueva Segovia,ADONIS JOSE ORTEZ BELTRAN,275,69,Instituto Hondureño del Café,2016,"February 17th, 2016",,Completed,,7.08,7,6.75,6.83,7.08,6.92,10,10,10,6.92,Sample  78.58,10%,1 full defects,5,Green,7 full defects,"February 16th, 2017",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,,,
78.58,"Exportadora Atlantic, S.A.",Nicaragua,,Exportadora Atlantic S.A,,,275,2,Asociación de Cafés Especiales de Nicaragua,2014,"March 28th, 2015",,Completed,Natural / Dry,6.83,7.08,6.92,6.75,7.25,7.08,10,10,10,6.67,Sample  78.58,11%,1 full defects,0,Green,1 full defects,"March 27th, 2016",Asociación de Cafés Especiales de Nicaragua,"Oficentro Norte, Km 5, Carretera Panamericana Norte, Managua, Nicaragua",Edwin José Ruiz González - 011-(505)-2249-0182,,,
78.58,Juan Luis Alvarado Romero,Guatemala,VARIAS,"OUTSPAN GUATEMALA, S. A.",ORIENTE,VARIOS,250,69,Asociacion Nacional Del Café,2014,"September 4th, 2014",Other,Completed,Washed / Wet,7.33,7.17,6.92,7.58,7.25,7.17,8.67,9.33,10,7.17,Sample  78.58,12%,0 full defects,0,Green,3 full defects,"September 4th, 2015",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,meters,4000,
78.58,"Lin, Che-Hao Krude 林哲豪",Taiwan,Kan Tou Mountain Coffee 崁頭山咖啡館,"RED ON TREE CO., LTD.","Dongshan Dist., Tainan City 臺南市東山區",GUO JIUN HUNG 郭俊宏 & TSENG RU FENG 曾如楓,50,20,Specialty Coffee Association,2013,"July 22nd, 2014",Typica,Completed,Washed / Wet,6.83,6.75,7.17,7.25,7,6.92,10,10,10,6.67,Sample  78.58,10%,0 full defects,0,Green,0 full defects,"July 22nd, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,800,
78.58,ALFREDO BOJALIL,Mexico,GRAPOS EL PORVENIR,ECOMTRADING,TAPACHULA,EPIFANIO GARCIA DE MIGUEL,250,1,AMECAFE,2012,"July 26th, 2012",Typica,Completed,Washed / Wet,7,7,6.75,7.33,6.92,6.92,10,10,10,6.67,Sample  78.58,13%,0 full defects,0,Green,1 full defects,"July 26th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1400,
78.58,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Mexico,COFRADIA,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE SA DE CV,COFRADIA DE SUCHITLAN,"J. CARMEN GUZMAN CONCEPCION, IGNACIO RAMIREZ BARAJAS, DIONICIO GARCIA RAMIREZ",50,1,AMECAFE,2012,"July 2nd, 2012",Typica,Completed,Washed / Wet,7.92,7.58,7.58,7.92,7.92,7.5,8,6.67,10,7.5,Sample  78.58,10%,0 full defects,0,,1 full defects,"July 2nd, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1300,
78.58,Kona Pacific Farmers Cooperative,United States (Hawaii),Kona Farms,,Kona,,8,45.3592,Specialty Coffee Association,,"June 21st, 2011",,Completed,,7.92,6.83,7.08,7.42,6.75,7.33,8.67,9.33,10,7.25,Sample  78.58,0%,0 full defects,0,,0 full defects,"June 20th, 2012",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,
78.5,Kurt Kappeli,Mexico,various small farms,Unión de Ejidos San Fernando,"Sierra, Chiapas",Various small producers,280,69,Specialty Coffee Association,2014,"April 26th, 2014",Bourbon,Completed,Washed / Wet,7.25,6.75,6.92,6.92,7.25,7.58,9.33,9.33,10,7.17,Sample  78.50,0%,0 full defects,0,Green,0 full defects,"April 26th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1600,
78.5,ROSARIO MIGUEL HERNANDEZ,Mexico,FINCA SEGO,VILLA TALEA CAFÉ,VILLA TALEA DE CASTRO,REYNALDO OLIVERA RIOS,10,1,AMECAFE,2012,"September 14th, 2012",Typica,Completed,Washed / Wet,7.08,6.83,6.83,7,7,6.92,10,10,10,6.83,Sample  78.50,12%,0 full defects,0,None,14 full defects,"September 14th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1400,
78.5,FRANCISCO RUIZ NUNEZ,Mexico,CERCA DE LOS ANGELES,,LOS ANGELES,FRANCISCO RUIZ NUÑEZ,20,1,AMECAFE,2012,"July 26th, 2012",Caturra,Completed,Washed / Wet,7.25,7.17,7,6.83,7.58,7.08,8.67,10,10,6.92,Sample  78.50,13%,1 full defects,0,Green,3 full defects,"July 26th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1200,
78.42,BOURBON SPECIALTY COFFEES,Brazil,SANTA MARIA,BOURBON SPECIALTY COFFEES,MONTE CARMELO,Manoel Cardoso and Galileo Cardoso,300,60,Brazil Specialty Coffee Association,2014/2015,"December 16th, 2014",Catuai,Completed,Natural / Dry,6.83,7,6.92,7.08,6.92,6.83,10,10,10,6.83,Sample  78.42,12%,3 full defects,0,Green,4 full defects,"December 16th, 2015",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,,,
78.42,ISRAEL EDUARDO PAZ GARCIA,Mexico,EL NARANJO,CAFEORGANICO.MX,ZARAGOZA ITUNDUJIA,LAMBERTO JOSÉ GARCÍA,10,1,AMECAFE,2012,"September 14th, 2012",Typica,Completed,Washed / Wet,7.58,7.17,7,7.17,7.33,7,8,10,10,7.17,Sample  78.42,14%,0 full defects,0,None,0 full defects,"September 14th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1500,
78.33,Eileen Koyanagi,United States (Hawaii),,Kona Pacific Farmers Cooperative,KONA,,5,45.3592,Specialty Coffee Association,2014,"March 19th, 2014",Hawaiian Kona,Completed,Natural / Dry,7.5,7.75,7.58,7.83,7.92,7.92,7.33,8,8.67,7.83,Sample  78.33,10%,0 full defects,0,Bluish-Green,0 full defects,"March 19th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,
78.33,Juan Luis Alvarado Romero,Guatemala,VARIAS,"OUTSPAN GUATEMALA, S.A.",ORIENTE,VARIOS,275,69,Asociacion Nacional Del Café,2014,"February 27th, 2014",Other,Completed,Washed / Wet,7.17,6.5,6.67,7,7.17,7.17,10,10,10,6.67,Sample  78.33,10%,0 full defects,0,Green,2 full defects,"February 27th, 2015",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,meters,4000,
78.33,Juan Luis Alvarado Romero,Guatemala,EL SACRAMENTO,"UNEX (GUATEMALA),S.A",ORIENTE,LUIS RODRIGUEZ,250,1,Asociacion Nacional Del Café,2012,"February 7th, 2013",Bourbon,Completed,Washed / Wet,7.17,7.17,6.5,7.17,7,6.83,10,10,10,6.5,Sample  78.33,11%,1 full defects,0,Green,4 full defects,"February 7th, 2014",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,feet,4300,
78.33,PABLO CERVANTES MORELOS        ,Mexico,LLANO HERMOSO,ASOCIACIÓN AGRICOLA LOCAL DE PRODUCTORES DE CAFÉ DE HUAUTLA DE JIMENEZ        ,"XOCHITONALCO, HUAUTLA        ",PABLO CERVANTES MORELOS        ,100,1,AMECAFE,2012,"September 11th, 2012",Typica,Completed,Natural / Dry,7.25,7.25,7,7.5,7.33,7.42,8,9.33,10,7.75,Sample  78.33,13%,31 full defects,0,Green,47 full defects,"September 11th, 2013",AMECAFE,"Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600
","Sylvia Gutiérrez - 52-55-56884569 ext 6792
",meters,1300,
78.33,Juan Luis Alvarado Romero,Guatemala,Conquista/ Morito,"UNEX (GUATEMALA), S.A",ORIENTE,Conquista/ Morito,250,1,Asociacion Nacional Del Café,2012,"January 13th, 2012",Bourbon,Completed,Washed / Wet,7.17,6.08,6.17,7.25,7.33,7.33,10,10,10,7,Sample  78.33,11%,0 full defects,0,Green,9 full defects,"January 12th, 2013",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,
78.25,Eileen Koyanagi,United States (Hawaii),,Kona Pacific Farmers Cooperative,KONA,,18,45.3592,Specialty Coffee Association,2014,"January 20th, 2015",Hawaiian Kona,Completed,Natural / Dry,7.5,7.5,7.33,7.58,7.5,7.42,8.67,8.67,8.67,7.42,Sample  78.25,11%,2 full defects,0,Green,8 full defects,"January 20th, 2016",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,
78.25,Kona Pacific Farmers Cooperative,United States (Hawaii),,Kona Pacific Farmers Cooperative,KONA,,5,45.3592,Specialty Coffee Association,2012,"May 24th, 2012",Hawaiian Kona,Completed,Natural / Dry,7.42,7.33,7.33,7.5,7.67,7.75,8,8.67,9.33,7.25,Sample  78.25,11%,4 full defects,0,Green,31 full defects,"May 24th, 2013",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,
78.17,SanJava Coffee,Indonesia,vary,PT. Shriya Artha Nusantara,Ijen East Java,vary farms,2,1,Specialty Coffee Association of Indonesia,2016,"July 18th, 2017",Java,Completed,Washed / Wet,6.92,6.83,6.92,6.92,6.92,6.83,10,10,10,6.83,Sample  78.17,13%,0 full defects,0,,1 full defects,"July 18th, 2018",Specialty Coffee Association of Indonesia,"Ministry of Agriculture Republic Indonesia, Build C 5th Floor wing B Room 515 . Jl.Harsono RM South Jakarta",Balkis Faisal - 081284251303 / 085780031543,meters,1300,
78.08,GUSTAVO AMIEVA GONZALEZ,Mexico,,,CORDOBA,CONSUELO GONZALEZ GOMEZ,320,1,AMECAFE,2012,"July 11th, 2012",Typica,Completed,Washed / Wet,7.08,6.83,6.67,7.25,7.25,6.92,10,9.33,10,6.75,Sample  78.08,11%,0 full defects,0,Green,3 full defects,"July 11th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1050,
78,"Lin, Che-Hao Krude 林哲豪",Taiwan,大鋤花間 (HOE Vs. FLOWER COFFEE FARM),Taiwan Coffee Laboratory,"台南市東山區( Dongshan Dist., Tainan City)","林俊吉( Lin, Chun-Chi)",8,10,Specialty Coffee Association,2016,"June 6th, 2017",Yellow Bourbon,Completed,Washed / Wet,7.5,7.08,7.33,7.17,7.5,7.5,6.67,10,10,7.25,Sample  78.00,0%,3 full defects,0,Green,4 full defects,"June 6th, 2018",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,650,
78,CAFES FINOS DE EXPORTACION S DE R.L.,Honduras,Varios Farms,CAFES FINOS DE EXPORTACION S DE R.L.,INTIBUCA,Cooperativa Coaquil,275,2,Instituto Hondureño del Café,2014,"May 15th, 2014",Pacas,Completed,Natural / Dry,6.83,7,6.67,7,7,6.83,10,10,10,6.67,Sample  78.00,11%,2 full defects,0,Green,6 full defects,"May 15th, 2015",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,meters,1350,
78,Eileen Koyanagi,United States (Hawaii),,Kona Pacific Farmers Cooperative,KONA,,5,45.3592,Specialty Coffee Association,2014,"March 18th, 2014",Hawaiian Kona,Completed,Natural / Dry,7.58,7.33,7.5,7.42,7.5,7.33,8,8.67,9.33,7.33,Sample  78.00,12%,2 full defects,0,Green,3 full defects,"March 18th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,
78,Juan Luis Alvarado Romero,Guatemala,VARIAS,"OUTSPAN GUATEMALA, S.A.",ORIENTE,VARIOS,275,69,Asociacion Nacional Del Café,2014,"February 7th, 2014",Other,Completed,Washed / Wet,7.42,7.25,6.83,7.33,7,6.92,9.33,9.33,9.33,7.25,Sample  78.00,10%,1 full defects,0,Green,2 full defects,"February 7th, 2015",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,meters,4000,
78,Samuel Eli Gurel,China,Hani,GreenHouse Coffee China,Puer,GreenHouse Coffee,16,2,Specialty Coffee Association,2013,"September 5th, 2013",Typica,Completed,Washed / Wet,7.33,7.17,6.92,7.08,7.33,7,9.33,9.33,9.33,7.17,Sample  78.00,10%,0 full defects,0,Green,28 full defects,"September 5th, 2014",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1200,
78,Juan Luis Alvarado Romero,Guatemala,LA UNION MONTEVERDE,"UNEX (GUATEMALA), S.A.",ORIENTE,"AGRICOLA MONTE VERDE, S.A.",250,69,Asociacion Nacional Del Café,2013,"April 29th, 2013",Bourbon,Completed,Washed / Wet,7,6.83,6.83,7.17,6.67,6.83,10,10,10,6.67,Sample  78.00,11%,3 full defects,0,Green,9 full defects,"April 29th, 2014",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,feet,4300,
